model,arm,micro_f1_mean,micro_f1_sd,precision_mean,precision_sd,recall_mean,recall_sd,exact_best_match_rate_mean,exact_best_match_rate_sd,fixed_recall_mean,fixed_recall_sd,fixed_precision_mean,fixed_precision_sd,fixed_f1_mean,fixed_f1_sd
anthropic/claude-haiku-4.5,baseline,0.7055837563451777,0.0,0.6205357142857143,0.0,0.8176470588235294,0.0,0.5718232044198895,0.0,0.8176470588235294,0.0,0.6205357142857143,0.0,0.7055837563451777,0.0
anthropic/claude-haiku-4.5,additive_verbs,0.6635294117647059,0.0,0.5551181102362205,0.0,0.8245614035087719,0.0,0.5497237569060773,0.0,0.8235294117647058,0.0,0.5511811023622047,0.0,0.660377358490566,0.0
anthropic/claude-haiku-4.5,all_verbs,0.6776232616940582,0.0,0.5982142857142857,0.0,0.7813411078717201,0.0,0.5552486187845304,0.0,0.7794117647058824,0.0,0.5915178571428571,0.0,0.6725888324873096,0.0
anthropic/claude-haiku-4.5,context_pos,0.6936708860759494,0.0,0.6116071428571429,0.0,0.8011695906432749,0.0,0.5662983425414365,0.0,0.7970588235294118,0.0,0.6049107142857143,0.0,0.6878172588832487,0.0
anthropic/claude-haiku-4.5,additive_pos,0.686060606060606,0.0,0.5859213250517599,0.0,0.827485380116959,0.0,0.5580110497237569,0.0,0.8264705882352941,0.0,0.5817805383022774,0.0,0.6828675577156743,0.0
anthropic/claude-sonnet-4.5,baseline,0.7591950974023243,0.0021019939766163827,0.690882847788969,0.001818788930102458,0.8424997905671442,0.0027031764081352342,0.6397790055248619,0.0015130457389645737,0.8424997905671442,0.0027031764081352342,0.690882847788969,0.001818788930102458,0.7591950974023243,0.0021019939766163827
anthropic/claude-sonnet-4.5,additive_verbs,0.7233394148217229,0.002031508908706213,0.6337101445129976,0.0016881780337454032,0.8424997905671442,0.0027031764081352342,0.6011049723756906,0.0015130457389645737,0.8424997905671442,0.0027031764081352342,0.6337101445129976,0.0016881780337454032,0.7233394148217229,0.002031508908706213
anthropic/claude-sonnet-4.5,all_verbs,0.713164579041102,0.002144337510334343,0.6481474777774254,0.001833683695414882,0.7926811594202898,0.0027501668152567554,0.6011049723756906,0.0015130457389645737,0.7874909943871995,0.0027463629203859532,0.6457732905545618,0.0018347867656076549,0.7096253471154957,0.002144775083707588
anthropic/claude-sonnet-4.5,context_pos,0.734063314681855,0.0021257584991867264,0.6671409755603337,0.0018258982602373127,0.8159100101112234,0.002731703322163525,0.6204419889502762,0.0015130457389645737,0.8106525927787551,0.0027279228820638124,0.6647667883374702,0.0018267699765157361,0.7304968209204762,0.0021260772907120934
anthropic/claude-sonnet-4.5,additive_pos,0.7379315835494739,0.002226552393098718,0.654708443701459,0.002049887255260312,0.8453949903660887,0.0027009622557272153,0.6176795580110497,0.001513045738964513,0.8453949903660887,0.0027009622557272153,0.654708443701459,0.002049887255260312,0.7379315835494739,0.002226552393098718
