model,repeat,arm,tp,fp,fn,evaluated,nonempty_reference,reference_pair_count,recall,precision,f1
google/gemini-3.1-flash-lite,1,baseline,284,120,63,362,252,347,0.8184438040345822,0.7029702970297029,0.7563249001331558
google/gemini-3.1-flash-lite,1,additive_verbs,284,153,63,362,252,347,0.8184438040345822,0.6498855835240275,0.7244897959183674
google/gemini-3.1-flash-lite,1,all_verbs,267,137,80,362,252,347,0.7694524495677233,0.6608910891089109,0.711051930758988
google/gemini-3.1-flash-lite,1,context_pos,275,129,72,362,252,347,0.792507204610951,0.6806930693069307,0.7323568575233023
google/gemini-3.1-flash-lite,1,additive_pos,284,138,63,362,252,347,0.8184438040345822,0.6729857819905213,0.7386215864759428
google/gemini-3.1-flash-lite,2,baseline,289,119,59,362,253,348,0.8304597701149425,0.7083333333333334,0.7645502645502645
google/gemini-3.1-flash-lite,2,additive_verbs,289,153,59,362,253,348,0.8304597701149425,0.6538461538461539,0.7316455696202532
google/gemini-3.1-flash-lite,2,all_verbs,273,135,75,362,253,348,0.7844827586206896,0.6691176470588235,0.7222222222222222
google/gemini-3.1-flash-lite,2,context_pos,280,128,68,362,253,348,0.8045977011494253,0.6862745098039216,0.7407407407407407
google/gemini-3.1-flash-lite,2,additive_pos,289,137,59,362,253,348,0.8304597701149425,0.6784037558685446,0.7467700258397932
google/gemini-3.1-flash-lite,3,baseline,287,116,60,362,252,347,0.8270893371757925,0.7121588089330024,0.7653333333333333
google/gemini-3.1-flash-lite,3,additive_verbs,287,151,60,362,252,347,0.8270893371757925,0.6552511415525114,0.7312101910828025
google/gemini-3.1-flash-lite,3,all_verbs,270,133,77,362,252,347,0.7780979827089337,0.6699751861042184,0.72
google/gemini-3.1-flash-lite,3,context_pos,278,125,69,362,252,347,0.8011527377521613,0.6898263027295285,0.7413333333333333
google/gemini-3.1-flash-lite,3,additive_pos,287,134,60,362,252,347,0.8270893371757925,0.6817102137767221,0.7473958333333334
google/gemini-3.1-flash-lite,4,baseline,283,121,62,362,252,345,0.8202898550724638,0.7004950495049505,0.7556742323097463
google/gemini-3.1-flash-lite,4,additive_verbs,283,156,62,362,252,345,0.8202898550724638,0.6446469248291572,0.7219387755102041
google/gemini-3.1-flash-lite,4,all_verbs,266,138,79,362,252,345,0.7710144927536232,0.6584158415841584,0.7102803738317757
google/gemini-3.1-flash-lite,4,context_pos,274,130,71,362,252,345,0.7942028985507247,0.6782178217821783,0.7316421895861148
google/gemini-3.1-flash-lite,4,additive_pos,283,138,62,362,252,345,0.8202898550724638,0.672209026128266,0.7389033942558747
google/gemini-3.1-flash-lite,5,baseline,289,117,58,362,252,347,0.8328530259365994,0.7118226600985221,0.7675962815405046
google/gemini-3.1-flash-lite,5,additive_verbs,289,150,58,362,252,347,0.8328530259365994,0.6583143507972665,0.7353689567430025
google/gemini-3.1-flash-lite,5,all_verbs,272,134,75,362,252,347,0.7838616714697406,0.6699507389162561,0.7224435590969456
google/gemini-3.1-flash-lite,5,context_pos,280,126,67,362,252,347,0.8069164265129684,0.6896551724137931,0.7436918990703851
google/gemini-3.1-flash-lite,5,additive_pos,289,134,58,362,252,347,0.8328530259365994,0.6832151300236406,0.7506493506493507
google/gemini-3.5-flash,1,baseline,296,156,66,362,258,362,0.8176795580110497,0.6548672566371682,0.7272727272727273
