model,repeat,arm,scoring,micro_f1,exact_match,fixed_reference_recall,fixed_tp,fixed_fp,fixed_fn,fixed_evaluated
anthropic/claude-sonnet-4.5,1,baseline,unique_position,0.612565445026178,0.6049723756906077,0.6242774566473989,216,207,130,362
anthropic/claude-sonnet-4.5,1,baseline,set,0.7594278283485045,0.6408839779005525,0.8439306358381503,292,131,54,362
anthropic/claude-sonnet-4.5,1,additive_verbs,unique_position,0.5835411471321695,0.574585635359116,0.6242774566473989,216,245,130,362
anthropic/claude-sonnet-4.5,1,additive_verbs,set,0.7236679058240396,0.6022099447513812,0.8439306358381503,292,169,54,362
anthropic/claude-sonnet-4.5,1,all_verbs,unique_position,0.5714285714285714,0.574585635359116,0.5809248554913294,201,222,145,362
anthropic/claude-sonnet-4.5,1,all_verbs,set,0.7135416666666666,0.6022099447513812,0.7890173410404624,273,150,73,362
anthropic/claude-sonnet-4.5,1,context_pos,unique_position,0.5897771952817824,0.5911602209944752,0.6011560693641619,208,215,138,362
anthropic/claude-sonnet-4.5,1,context_pos,set,0.734375,0.6215469613259669,0.8121387283236994,281,142,65,362
anthropic/claude-sonnet-4.5,1,additive_pos,unique_position,0.5931558935361216,0.5883977900552486,0.6242774566473989,216,232,130,362
anthropic/claude-sonnet-4.5,1,additive_pos,set,0.7380352644836272,0.6187845303867403,0.846820809248555,293,155,53,362
anthropic/claude-sonnet-4.5,2,baseline,unique_position,0.6123521681997371,0.6049723756906077,0.6202898550724638,214,206,131,362
anthropic/claude-sonnet-4.5,2,baseline,set,0.7607843137254902,0.6408839779005525,0.8434782608695652,291,129,54,362
anthropic/claude-sonnet-4.5,2,additive_verbs,unique_position,0.5832290362953693,0.574585635359116,0.6202898550724638,214,244,131,362
anthropic/claude-sonnet-4.5,2,additive_verbs,set,0.7247820672478207,0.6022099447513812,0.8434782608695652,291,167,54,362
anthropic/claude-sonnet-4.5,2,all_verbs,unique_position,0.5710526315789474,0.574585635359116,0.5768115942028985,199,221,146,362
anthropic/claude-sonnet-4.5,2,all_verbs,set,0.7146596858638743,0.6022099447513812,0.7884057971014493,272,148,73,362
anthropic/claude-sonnet-4.5,2,context_pos,unique_position,0.5894736842105263,0.5911602209944752,0.5971014492753624,206,214,139,362
anthropic/claude-sonnet-4.5,2,context_pos,set,0.7356020942408377,0.6215469613259669,0.8115942028985508,280,140,65,362
anthropic/claude-sonnet-4.5,2,additive_pos,unique_position,0.5928753180661578,0.5883977900552486,0.6202898550724638,214,231,131,362
anthropic/claude-sonnet-4.5,2,additive_pos,set,0.739240506329114,0.6187845303867403,0.8463768115942029,292,153,53,362
anthropic/claude-sonnet-4.5,3,baseline,unique_position,0.6123521681997371,0.6022099447513812,0.6231884057971014,215,205,130,362
anthropic/claude-sonnet-4.5,3,baseline,set,0.7555555555555555,0.638121546961326,0.8376811594202899,289,131,56,362
anthropic/claude-sonnet-4.5,3,additive_verbs,unique_position,0.5832290362953693,0.5718232044198895,0.6231884057971014,215,243,130,362
anthropic/claude-sonnet-4.5,3,additive_verbs,set,0.7198007471980075,0.5994475138121547,0.8376811594202899,289,169,56,362
