prompt,model,model_slug,reference_columns,repeats_requested,repeats_with_f1,mean_micro_f1,sample_stddev_micro_f1,min_micro_f1,max_micro_f1,repeats_with_position_sensitive_f1,mean_position_sensitive_micro_f1,sample_stddev_position_sensitive_micro_f1,min_position_sensitive_micro_f1,max_position_sensitive_micro_f1,total_evaluated_items,total_error_runs,total_missing_predictions
lasha,google/gemini-3.1-flash-lite,google_gemini-3.1-flash-lite,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,5,0.7406919887773608,0.00632393465676624,0.7324675324675325,0.7467700258397932,5,0.6006275842869137,0.004190710699392433,0.5947368421052631,0.6062992125984252,1810,0,0
lasha,anthropic/claude-sonnet-4.5,anthropic_claude-sonnet-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,5,0.7331325663978353,0.001064138439323737,0.7320099255583127,0.7342398022249691,5,0.579274169029226,0.0011681040343594763,0.5775,0.5803237858032378,1810,0,0
lasha,openai/gpt-5.4,openai_gpt-5.4,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,5,0.7297612871578456,0.00504066293998691,0.7247119078104993,0.7361477572559367,5,0.5745836163803939,0.010056579518922937,0.5584415584415584,0.5847797062750334,1810,0,0
lasha,google/gemini-3.5-flash,google_gemini-3.5-flash,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,5,0.7072111967133853,0.00384646750877589,0.7032710280373832,0.7129411764705882,5,0.5605311689731532,0.006131747210253333,0.5534441805225653,0.569377990430622,1810,0,0
lasha,anthropic/claude-haiku-4.5,anthropic_claude-haiku-4.5,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,5,0.6859205776173285,0.0,0.6859205776173285,0.6859205776173285,5,0.5297691373025516,0.0,0.5297691373025516,0.5297691373025516,1810,0,0
lasha,openai/gpt-oss-20b,openai_gpt-oss-20b,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,5,0.6191520341034444,0.011248461750733811,0.601078167115903,0.6321381142098274,5,0.4496073911839031,0.0029852945633600724,0.4459279038718291,0.45288326300984527,1807,0,3
lasha,openai/gpt-5.4-mini,openai_gpt-5.4-mini,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,5,0.5785654096154041,0.010318095420434726,0.5665601703940362,0.591002044989775,5,0.39914962468762494,0.006836448305196137,0.3917748917748918,0.4100418410041841,1810,0,0
lasha,google/gemma-3-4b-it,google_gemma-3-4b-it,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,5,0.4503993748866053,0.002532549611092211,0.44667274384685507,0.4528301886792453,5,0.2383490093262421,0.0034504642936190526,0.23410138248847925,0.24197983501374887,1775,35,35
